Provinsi/Kabupaten/Kota,,,,,,,
,[Metode Baru] Indeks Pembangunan Manusia,,,,,,
Bolaang Mongondow Selatan,65.9,66.4,,,,,
Bolaang Mongondow Timur,67.21,67.95,,,,,
Kota Manado,79.66,80.14,,,,,
Kota Bitung,74.7,75.11,,,,,
Kota Tomohon,77.44,78.1,,,,,
Kota Kotamobagu,73.96,74.43,,,,,
SULAWESI TENGAH,70.28,70.95,,,,,
Banggai Kepulauan,66.08,66.82,,,,,
Banggai,71.08,71.7,,,,,
Morowali,72.55,73.02,,,,,
Poso,71.93,72.48,,,,,
Donggala,66.25,66.95,,,,,
Toli-Toli,66.76,67.66,,,,,
Buol,68.72,69.57,,,,,
Parigi Moutong,66.26,67.11,,,,,
Tojo Una-Una,65.54,66.39,,,,,
Sigi,69.05,69.93,,,,,
Banggai Laut,66.22,66.93,,,,,
Morowali Utara,68.97,69.73,,,,,
Kota Palu,82.02,82.52,,,,,
SULAWESI SELATAN,72.82,73.46,,,,,
Kepulauan Selayar,68.35,69.2,,,,,
Bulukumba,70.34,71.21,,,,,
Bantaeng,69.69,70.57,,,,,
Jeneponto,65.13,65.9,,,,,
Takalar,68.31,68.9,,,,,
Gowa,70.99,71.57,,,,,
Sinjai,68.33,68.92,,,,,
Maros,71,71.63,,,,,
Pangkajene dan Kepulauan,69.79,70.59,,,,,
Barru,71.53,72.36,,,,,
Bone,67.01,67.81,,,,,
Soppeng,69.7,70.58,,,,,
Wajo,70.26,71.1,,,,,
Sidenreng Rappang,72.06,72.71,,,,,
Pinrang,71.97,72.84,,,,,
Enrekang,73.39,73.89,,,,,
Luwu,71.36,72.16,,,,,
Tana Toraja,69.88,70.73,,,,,
Luwu Utara,70.51,71.34,,,,,
Luwu Timur,73.92,74.35,,,,,
Toraja Utara,70.36,71.23,,,,,
Kota Makasar,83.12,83.52,,,,,
Kota Parepare,78.54,79.03,,,,,
Kota Palopo,78.91,79.45,,,,,
SULAWESI TENGGARA,72.23,72.79,,,,,
Buton,67.23,68.12,,,,,
Muna,69.61,70.16,,,,,
Konawe,72.04,72.77,,,,,
Kolaka,73.98,74.72,,,,,
Konawe Selatan,69.36,70.32,,,,,
Bombana,66.81,67.43,,,,,
Wakatobi,70.85,71.43,,,,,
Kolaka Utara,70.39,71.04,,,,,
Buton Utara,69,69.7,,,,,
Konawe Utara,71.1,71.71,,,,,
Kolaka Timur,68.73,69.57,,,,,
Konawe Kepulauan,66.69,67.32,,,,,
Muna Barat,66.21,67.13,,,,,
Buton Tengah,65.29,65.83,,,,,
Buton Selatan,65.44,66.15,,,,,
Kota Kendari,84.51,84.85,,,,,
Kota Baubau,76.67,77.52,,,,,
GORONTALO,69.81,70.45,,,,,
